	#	$	ID	number	(	)	+	-	*	/	%	<	>	==	!=	=	,	function	double	char	int	float	;	continue	break	return	if	else	while	for	{	}	S	start	primary_expression	operator	arithmetic_expression	constant_expression	assignment_operator	assignment_expression	assignment_expression_profix	assignment_expression_list	function_expression	expression	expression_profix	expression_list	type_specifier	declaration_assign	declaration_init	declaration_init_list	declaration	function_declaration	function_declaration_suffix	function_declaration_list	function_definition	function_implement	statement	statement_list	expression_statement	jump_statement	selection_statement	iteration_statement	compound_statement	external_declaration	
I0	r3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s11	s6	s7	s8	s9	 	 	 	 	 	 	 	 	 	 	 	I1	 	 	 	 	 	 	 	 	 	 	 	 	I5	 	 	 	I4	 	 	 	I10	I3	 	 	 	 	 	 	 	I2	
I1	acc	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I2	r3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s11	s6	s7	s8	s9	 	 	 	 	 	 	 	 	 	 	 	I12	 	 	 	 	 	 	 	 	 	 	 	 	I5	 	 	 	I4	 	 	 	I10	I3	 	 	 	 	 	 	 	I2	
I3	r70	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r70	r70	r70	r70	r70	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I4	r71	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r71	r71	r71	r71	r71	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I5	 	 	s14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I6	 	 	r37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I7	 	 	r38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I8	 	 	r39	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I9	 	 	r40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
